"id","label.x","abgeordnetenwatch_url","first_name","last_name","sex","year_of_birth","party.id","party.label","education","residence","occupation","statistic_questions","statistic_questions_answered","birth_name","field_title","party_past","id.mandat","parliament_period_label","politician_abgeordnetenwatch_url","start_date","end_date","info","electoral_data_id","electoral_data_electoral_list.id","electoral_data_electoral_list.label","electoral_data_list_position","electoral_data_constituency.id","electoral_data_constituency.label","electoral_data_constituency_result","electoral_data_constituency_result_count","electoral_data_mandate_won","latitude","longitude"
78936,"Beate Walter-Rosenheimer","https://www.abgeordnetenwatch.de/profile/beate-walter-rosenheimer","Beate","Walter-Rosenheimer","f","1964","5","Bündnis 90/Die Grünen","Diplom Psychologin",NA,"MdB","47","47",NA,NA,NA,54377,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/beate-walter-rosenheimer",NA,NA,NA,55301,411,"Landesliste Bayern (Bundestag 2021 - 2025)",19,10955,"215 - Fürstenfeldbruck (Bundestag 2021 - 2025)",13.3,NA,"list",NA,NA
138540,"Markus Uhl","https://www.abgeordnetenwatch.de/profile/markus-uhl","Markus","Uhl","m","1979","2","CDU","Dipl.-Kaufmann",NA,"MdB","16","15",NA,NA,NA,54370,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/markus-uhl",NA,NA,NA,55294,421,"Landesliste Saarland (Bundestag 2021 - 2025)",4,11039,"299 - Homburg (Bundestag 2021 - 2025)",26.1,36474,"list",NA,NA
79011,"Nadine Schön","https://www.abgeordnetenwatch.de/profile/nadine-schoen","Nadine","Schön","f","1983","2","CDU","Diplom-Juristin","Tholey","MdB","11","11",NA,NA,NA,54369,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/nadine-schoen",NA,NA,NA,55293,421,"Landesliste Saarland (Bundestag 2021 - 2025)",3,11038,"298 - St. Wendel (Bundestag 2021 - 2025)",32.1,43923,"list",49.481406,7.0323463
146018,"Sascha Müller","https://www.abgeordnetenwatch.de/profile/sascha-mueller-0","Sascha","Müller","m","1970","5","Bündnis 90/Die Grünen","Politikwissenschaft","Nürnberg","Sportjournalist, Landesschatzmeister","25","25",NA,NA,NA,54138,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/sascha-mueller-0",NA,NA,NA,55062,411,"Landesliste Bayern (Bundestag 2021 - 2025)",6,10985,"245 - Nürnberg-Süd (Bundestag 2021 - 2025)",12.1,15557,"list",49.453872,11.077298
79000,"Andreas Schwarz","https://www.abgeordnetenwatch.de/profile/andreas-schwarz","Andreas","Schwarz","m","1965","1","SPD","Dipl. Betriebswirt (FH)",NA,"MdB","27","27",NA,NA,NA,54137,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/andreas-schwarz",NA,NA,NA,55061,411,"Landesliste Bayern (Bundestag 2021 - 2025)",11,10976,"236 - Bamberg (Bundestag 2021 - 2025)",19,28122,"list",NA,NA
79097,"Aydan Özoğuz","https://www.abgeordnetenwatch.de/profile/aydan-oezoguz","Aydan","Özoğuz","f","1967","1","SPD","Magister Anglistik",NA,"Vizepräsidentin des Deutschen Bundestages","46","45",NA,NA,NA,54136,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/aydan-oezoguz",NA,NA,NA,55060,415,"Landesliste Hamburg (Bundestag 2021 - 2025)",1,10762,"22 - Hamburg-Wandsbek (Bundestag 2021 - 2025)",38,NA,"constituency",NA,NA
175594,"Kassem Taher Saleh","https://www.abgeordnetenwatch.de/profile/kassem-taher-saleh","Kassem","Taher Saleh","m","1993","5","Bündnis 90/Die Grünen","Diplom Ingenieur","Dresden","Bauleiter","15","15",NA,NA,NA,54135,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/kassem-taher-saleh",NA,NA,NA,55059,422,"Landesliste Sachsen (Bundestag 2021 - 2025)",4,10899,"159 - Dresden I (Bundestag 2021 - 2025)",9.5,17135,"list",51.0493286,13.7381437
79090,"Lisa Paus","https://www.abgeordnetenwatch.de/profile/lisa-paus","Lisa","Paus","f","1968","5","Bündnis 90/Die Grünen","Diplom Volkswirtin",NA,"MdB","208","17",NA,NA,NA,54134,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/lisa-paus",NA,NA,NA,55058,412,"Landesliste Berlin (Bundestag 2021 - 2025)",1,10820,"80 - Berlin-Charlottenburg-Wilmersdorf (Bundestag 2021 - 2025)",24.4,NA,"list",NA,NA
175877,"Ottilie Klein","https://www.abgeordnetenwatch.de/profile/ottilie-klein","Ottilie","Klein","f","1984","2","CDU",NA,"Berlin","Abteilungsdirektorin","24","20",NA,"Dr.",NA,54133,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/ottilie-klein",NA,NA,NA,55057,412,"Landesliste Berlin (Bundestag 2021 - 2025)",3,10815,"75 - Berlin-Mitte (Bundestag 2021 - 2025)",13.3,NA,"list",52.5108638,13.3989421
125186,"Jonas Geissler","https://www.abgeordnetenwatch.de/profile/jonas-geissler","Jonas","Geissler","m","1984","3","CSU","Politikwissenschaft, Geschichte und Internationale Beziehungen",NA,"MdB","9","3",NA,"Dr.",NA,54132,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/jonas-geissler",NA,NA,NA,55056,NA,NA,NA,10978,"238 - Coburg (Bundestag 2021 - 2025)",36,NA,"constituency",NA,NA
