"id","label.x","abgeordnetenwatch_url","first_name","last_name","sex","year_of_birth","party.id","party.label","education","occupation","statistic_questions","statistic_questions_answered","residence","field_title","party_past","birth_name","id.mandat","parliament_period_label","politician_abgeordnetenwatch_url","start_date","end_date","info","electoral_data_id","electoral_data_electoral_list.id","electoral_data_electoral_list.label","electoral_data_list_position","electoral_data_constituency.id","electoral_data_constituency.label","electoral_data_constituency_result","electoral_data_constituency_result_count","electoral_data_mandate_won","latitude","longitude"
145833,"Peter Felser","https://www.abgeordnetenwatch.de/profile/peter-felser","Peter","Felser","m",1969,9,"AfD","Diplom Pädagoge (univ.)","MdB, Unternehmer",3,2,"Sonthofen",NA,NA,NA,43840,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/peter-felser",NA,NA,NA,43840,107,"Landesliste Bayern (Bundestag 2017 - 2021)",7,4380,"256 - Oberallgäu (Bundestag 2017 - 2021)",9.6,NA,"list",47.5047006,10.3061977
145830,"Rainer Kraft","https://www.abgeordnetenwatch.de/profile/rainer-kraft","Rainer","Kraft","m",1974,9,"AfD","Promovierter Diplom-Chemiker","MdB",5,NA,"Langweid","Dr.",NA,NA,43839,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/rainer-kraft",NA,NA,NA,43839,107,"Landesliste Bayern (Bundestag 2017 - 2021)",12,4377,"253 - Augsburg-Land (Bundestag 2017 - 2021)",12.3,NA,"list",47.8118191,10.7218392
145821,"Paul Podolay","https://www.abgeordnetenwatch.de/profile/paul-podolay","Paul","Podolay","m",1946,9,"AfD","Medizintechnik","MdB",13,8,NA,NA,NA,NA,43838,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/paul-podolay",NA,NA,NA,43838,107,"Landesliste Bayern (Bundestag 2017 - 2021)",10,4366,"242 - Erlangen (Bundestag 2017 - 2021)",7.9,NA,"list",49.5928616,11.0056
145803,"Johannes Huber","https://www.abgeordnetenwatch.de/profile/johannes-huber","Johannes","Huber","m",1987,185,"parteilos","Diplom-Soziologe","MdB",14,14,NA,NA,NA,NA,43837,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/johannes-huber",NA,NA,NA,43837,107,"Landesliste Bayern (Bundestag 2017 - 2021)",13,4338,"214 - Freising (Bundestag 2017 - 2021)",12.5,NA,"list",48.4008273,11.7439565
145800,"Heiko Wildberg","https://www.abgeordnetenwatch.de/profile/heiko-wildberg","Heiko","Wildberg","m",1952,9,"AfD","Diplom Geologe","MdB",12,3,NA,"Dr.",NA,NA,43836,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/heiko-wildberg",NA,NA,NA,43836,116,"Landesliste Rheinland-Pfalz (Bundestag 2017 - 2021)",1,4335,"211 - Südpfalz (Bundestag 2017 - 2021)",12.3,NA,"list",49.1551808,8.13577580073504
145795,"Sebastian Münzenmaier","https://www.abgeordnetenwatch.de/profile/sebastian-muenzenmaier","Sebastian","Münzenmaier","m",1989,9,"AfD",NA,"MdB, Fraktionsgeschäftsführer",15,14,NA,NA,NA,NA,43835,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/sebastian-muenzenmaier",NA,NA,NA,43835,116,"Landesliste Rheinland-Pfalz (Bundestag 2017 - 2021)",1,4329,"205 - Mainz (Bundestag 2017 - 2021)",7.3,NA,"list",50.0012314,8.2762513
145789,"Andreas Bleck","https://www.abgeordnetenwatch.de/profile/andreas-bleck","Andreas","Bleck","m",1988,9,"AfD","Lehramt","MdB",5,4,NA,NA,NA,NA,43834,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/andreas-bleck",NA,NA,NA,43834,116,"Landesliste Rheinland-Pfalz (Bundestag 2017 - 2021)",3,4321,"197 - Neuwied (Bundestag 2017 - 2021)",9.5,NA,"list",50.4302393,7.466302
145787,"Robby Schlund","https://www.abgeordnetenwatch.de/profile/robby-schlund","Robby","Schlund","m",1967,9,"AfD","Arzt","MdB",20,15,NA,NA,NA,NA,43833,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/robby-schlund",NA,NA,NA,43833,121,"Landesliste Thüringen (Bundestag 2017 - 2021)",4,4318,"194 - Gera – Greiz – Altenburger Land (Bundestag 2017 - 2021)",27.3,NA,"list",NA,NA
145771,"Mariana Harder-Kühnel","https://www.abgeordnetenwatch.de/profile/mariana-harder-kuehnel","Mariana","Harder-Kühnel","f",1974,9,"AfD","Juristin","MdB, Rechtsanwältin",11,10,NA,NA,NA,NA,43832,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/mariana-harder-kuehnel",NA,NA,NA,43832,112,"Landesliste Hessen (Bundestag 2017 - 2021)",1,4299,"175 - Main-Kinzig - Wetterau II - Schotten (Bundestag 2017 - 2021)",14.8,NA,"list",50.31634705,9.35709503235999
145760,"Ulrich Oehme","https://www.abgeordnetenwatch.de/profile/ulrich-oehme","Ulrich","Oehme","m",1960,9,"AfD","Dipl.Ing.","MdB",7,1,NA,NA,NA,NA,43831,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/ulrich-oehme",NA,NA,NA,43831,118,"Landesliste Sachsen (Bundestag 2017 - 2021)",7,4287,"163 - Chemnitzer Umland - Erzgebirgskreis II (Bundestag 2017 - 2021)",26.6,NA,"list",50.82736725,12.6759295095776
145758,"Heiko Heßenkemper","https://www.abgeordnetenwatch.de/profile/heiko-hessenkemper","Heiko","Heßenkemper","m",1956,185,"parteilos","Dr.-Ing., Promotion Werkstoffwissenschaften","MdB",3,NA,NA,NA,NA,NA,43830,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/heiko-hessenkemper",NA,NA,NA,43830,118,"Landesliste Sachsen (Bundestag 2017 - 2021)",6,4285,"161 - Mittelsachsen (Bundestag 2017 - 2021)",31.5,NA,"list",50.9348991,13.0428111353455
145756,"Jens Maier","https://www.abgeordnetenwatch.de/profile/jens-maier","Jens","Maier","m",1962,9,"AfD","Jurist","MdB",35,26,"Dresden",NA,NA,NA,43829,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/jens-maier",NA,NA,NA,43829,118,"Landesliste Sachsen (Bundestag 2017 - 2021)",2,4283,"159 - Dresden I (Bundestag 2017 - 2021)",22.4,NA,"list",51.0493286,13.7381437
145755,"Tino Chrupalla","https://www.abgeordnetenwatch.de/profile/tino-chrupalla","Tino","Chrupalla","m",1975,9,"AfD","Maler- und Lackierermeister","MdB, selbstständiger Unternehmer",34,NA,NA,NA,NA,NA,43828,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/tino-chrupalla",NA,NA,NA,43828,118,"Landesliste Sachsen (Bundestag 2017 - 2021)",5,4281,"157 - Görlitz (Bundestag 2017 - 2021)",32.4,NA,"constituency",51.1563185,14.991018
145754,"Karsten Hilse","https://www.abgeordnetenwatch.de/profile/karsten-hilse","Karsten","Hilse","m",1964,9,"AfD","Waffenmeister","MdB",10,3,NA,NA,NA,NA,43827,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/karsten-hilse",NA,NA,NA,43827,118,"Landesliste Sachsen (Bundestag 2017 - 2021)",8,4280,"156 - Bautzen I (Bundestag 2017 - 2021)",33.2,NA,"constituency",51.2816716,14.2125062882082
